n	part.num	weight	lambda	dist.1	dist.2	dist.3	dist.4	dist.5
1	1	0.0112359551	1.52305	0.17222	0.16555	0.16523	0.16083	0.17392
1	2	0.0112359551	0.74827	0.14728	0.15537	0.15113	0.1472	0.14281
1	3	0.0112359551	0.77068	0.14444	0.15143	0.14405	0.14797	0.14908
1	4	0.0112359551	1.71966	0.16263	0.17053	0.16355	0.16582	0.16205
1	5	0.0112359551	2.16503	0.16326	0.17298	0.16457	0.17064	0.17227
1	6	0.004494382	4.43538	0.17444	0.17198	0.1713	0.16473	0.17525
1	7	0.0112359551	1.69171	0.15821	0.16267	0.16453	0.15688	0.16456
1	8	0.0112359551	3.06082	0.17351	0.17557	0.17183	0.16926	0.18074
1	9	0.0112359551	3.09726	0.17308	0.17548	0.16804	0.16943	0.17709
1	10	0.0112359551	0.85891	0.15442	0.15016	0.15036	0.16135	0.14879
1	11	0.008988764	2.6837	0.16395	0.1638	0.16541	0.16933	0.17266
1	12	0.0112359551	1.74814	0.16521	0.16097	0.16448	0.16411	0.16411
1	13	0.0112359551	0.26103	0.11307	0.11835	0.11648	0.11707	0.11113
1	14	0.0112359551	1.18716	0.15816	0.15883	0.16032	0.16291	0.15771
1	15	0.004494382	5.31487	0.17143	0.16902	0.17101	0.16916	0.17147
1	16	0.0112359551	1.9826	0.16792	0.16543	0.16695	0.16857	0.16539
1	17	0.006741573	2.59174	0.16684	0.16382	0.16985	0.17479	0.17014
1	18	0.0112359551	1.91441	0.16272	0.16814	0.16843	0.164	0.16707
1	19	0.004494382	3.56846	0.16772	0.17354	0.1725	0.17057	0.17021
1	20	0.0112359551	2.19687	0.16545	0.15903	0.17682	0.17518	0.17653
1	21	0.004494382	5.9919	0.17006	0.17134	0.17259	0.17613	0.17157
1	22	0.002247191	7.92962	0.17598	0.17438	0.17412	0.17197	0.16724
1	23	0.0112359551	0.42145	0.1327	0.13523	0.1377	0.13364	0.13808
1	24	0.0112359551	2.98925	0.17216	0.16896	0.16857	0.1687	0.17326
1	25	0.0112359551	0.29231	0.12332	0.12598	0.11986	0.11785	0.11696
1	26	0.0112359551	0.53961	0.1466	0.13556	0.14186	0.13746	0.13741
1	27	0.0112359551	0.73331	0.14757	0.14916	0.14378	0.14417	0.14864
1	28	0.008988764	2.60418	0.17258	0.16343	0.168	0.16655	0.16527
1	29	0.0112359551	1.58403	0.16408	0.16707	0.17344	0.1661	0.16302
